row_id,timestamp,year,month,day_of_year,hour,minute,asset_type,plant_id,asset_level,hub_id,block_id,wind_farm_id,turbine_group_id,capacity_mw,horizon,horizon_minutes,business_use_case,business_name,model_family,uncertainty_method,train_split,actual_mw,possible_power_mw,scheduled_mw,local_limit_mw,control_setpoint_mw,availability_pct,scada_quality,scada_latency_seconds,curtailment_status,ramp_rate_mw_min,ghi_wm2,poa_wm2,dni_wm2,ambient_temp_c,module_temp_c,cloud_cover_pct,cloud_obstruction_probability,sky_camera_cloud_motion_deg,humidity_pct,pressure_hpa,hub_height_wind_speed_ms,wind_direction_deg,turbulence_intensity,nacelle_wind_speed_ms,lidar_upstream_wind_ms,wake_loss_pct,air_density_kg_m3,nwp_ghi_forecast_wm2,nwp_wind_speed_100m_ms,nwp_wind_direction_deg,nwp_cloud_cover_pct,nwp_temperature_c,nwp_pressure_hpa,nwp_ensemble_member_id,nwp_issue_lag_hours,target_actual_mw_horizon,forecast_p10_mw,forecast_p50_mw,forecast_p90_mw,residual_mw,absolute_error_mw,normalized_error_pct,inside_p10_p90,event_label,event_probability,root_cause,event_severity,model_confidence_pct,learned_residual_bias_mw,learned_uncertainty_scale,learned_regime_id,feature_importance_top1,feature_importance_top2,sample_weight
264000,2022-11-17 00:45:00,2022,11,321,0,45,solar,SOL_PAVAGADA,block,PAV_HUB_7,PAV_S2_B02,,,50.0,30min,30,intra_hour_dispatch_correction,Intra-hour dispatch correction,persistence_physical_blend,empirical_residual_band,train,1.4949,1.5398,0.0,55.0,42.4183,95.872,GOOD,9,NONE,0.63343,31.133,30.795,18.787,13.373,13.836,70.602,0.7216,281.654,41.399,1007.494,,,,,,,1.2246,30.42,,,75.221,16.221,1009.836,18,2,26.4882,15.4901,18.6002,21.7104,7.8879,7.8879,15.7759,0,cloud_ramp_up,0.8127,weather,WATCH,57.448,-0.9379,1.3625,cloud_ramp_up,poa_wm2,cloud_obstruction_probability,2.5
264001,2024-07-13 23:45:00,2024,7,195,23,45,wind,WND_GADAG_CLUSTER,block,,,GADAG_F2,GADAG_F2_TG07,20.0,30min,30,intra_hour_dispatch_correction,Intra-hour dispatch correction,persistence_physical_blend,empirical_residual_band,validation,0.0638,0.0675,8.7784,22.0,16.7284,94.858,GOOD,26,NONE,0.00457,,,,26.532,,,,,34.028,1009.459,4.415,240.41,0.1243,4.048,4.527,13.246,1.1731,,3.29,234.438,,26.657,1012.897,4,1,0.3558,0.0,0.1809,1.1053,0.1749,0.1749,0.8746,1,normal,0.1668,normal,NORMAL,92.251,-0.9735,1.0125,wind_normal_regime,hub_height_wind_speed_ms,wake_loss_pct,1.0
264002,2024-08-20 21:05:00,2024,8,233,21,5,wind,WND_GADAG_CLUSTER,block,,,GADAG_F3,GADAG_F3_TG01,20.0,1hour,60,intraday_reserve_planning,Intraday forecast / reserve planning,physical_weather_to_power_gaussian_residual,gaussian_residual_band,validation,1.0128,1.0356,8.5675,22.0,18.0367,96.368,GOOD,21,NONE,-0.06048,,,,24.077,,,,,32.588,1008.761,6.437,212.245,0.126,5.967,6.444,7.054,1.182,,7.327,216.802,,25.283,1008.404,5,2,0.0,0.0,0.0,0.9534,0.0,0.0,0.0,1,normal,0.1067,normal,NORMAL,94.0,-0.0161,1.025,wind_normal_regime,hub_height_wind_speed_ms,wake_loss_pct,1.0
264003,2022-10-09 04:50:00,2022,10,282,4,50,solar,SOL_PAVAGADA,block,PAV_HUB_8,PAV_S5_B04,,,50.0,1hour,60,intraday_reserve_planning,Intraday forecast / reserve planning,physical_weather_to_power_gaussian_residual,gaussian_residual_band,train,0.0,0.0,0.0,55.0,50.0542,95.695,GOOD,9,NONE,-0.17511,0.0,0.0,0.0,20.03,19.138,42.277,0.489,311.131,39.867,1008.095,,,,,,,1.1975,97.8,,,28.265,22.366,1009.987,20,2,0.0,0.0,0.0,2.3835,0.0,0.0,0.0,1,normal,0.0135,normal,NORMAL,94.0,0.3086,1.025,solar_clear_or_mixed,poa_wm2,cloud_obstruction_probability,1.0
264004,2016-01-26 03:25:00,2016,1,26,3,25,solar,SOL_PAVAGADA,block,PAV_HUB_7,PAV_S2_B03,,,50.0,30min,30,intra_hour_dispatch_correction,Intra-hour dispatch correction,persistence_physical_blend,empirical_residual_band,train,0.0,0.0,0.0,55.0,48.7311,95.443,GOOD,31,NONE,-0.01028,0.0,0.0,0.0,13.518,15.447,38.527,0.2713,266.287,73.502,1007.589,,,,,,,1.2241,83.33,,,29.877,12.266,1004.669,4,1,0.8558,0.0,0.1391,2.4503,0.7167,0.7167,1.4334,1,normal,0.1328,normal,NORMAL,91.133,1.5078,1.0125,solar_clear_or_mixed,poa_wm2,cloud_obstruction_probability,1.0
264005,2020-06-04 12:30:00,2020,6,156,12,30,wind,WND_GADAG_CLUSTER,hub,,,GADAG_F2,GADAG_F2_TG03,140.0,15min,15,intra_hour_dispatch_correction,Intra-hour dispatch correction,persistence_physical_blend,empirical_residual_band,train,4.3902,4.5011,64.4881,154.0,112.0124,95.986,GOOD,3,NONE,0.66917,,,,39.766,,,,,45.908,1004.264,5.921,298.67,0.1163,5.616,6.562,5.995,1.1177,,5.806,293.463,,40.593,1000.574,8,0,8.4426,7.0124,13.3837,19.755,-4.9411,4.9411,3.5293,1,normal,0.0603,normal,NORMAL,86.941,-0.2668,1.0062,wind_normal_regime,hub_height_wind_speed_ms,wake_loss_pct,1.0
264006,2021-05-30 01:50:00,2021,5,150,1,50,wind,WND_GADAG_CLUSTER,hub,,,GADAG_F1,GADAG_F1_TG01,140.0,15min,15,intra_hour_dispatch_correction,Intra-hour dispatch correction,persistence_physical_blend,empirical_residual_band,train,7.3937,7.5758,58.3438,154.0,135.9815,99.877,GOOD,34,NONE,0.69747,,,,25.249,,,,,44.927,1005.232,6.513,205.173,0.121,5.921,6.594,9.047,1.1732,,7.068,177.078,,24.627,1004.653,2,0,20.476,10.8746,17.2459,23.6172,3.2301,3.2301,2.3072,1,normal,0.0462,normal,NORMAL,89.386,-0.3624,1.0062,wind_normal_regime,hub_height_wind_speed_ms,wake_loss_pct,1.0
264007,2021-11-25 21:50:00,2021,11,329,21,50,solar,SOL_PAVAGADA,plant,PAV_HUB_4,PAV_S4_B03,,,2050.0,2hour,120,intraday_reserve_planning,Intraday forecast / reserve planning,physical_weather_to_power_gaussian_residual,gaussian_residual_band,train,78.9906,83.5738,0.0,2255.0,1941.997,97.573,GOOD,9,NONE,12.2452,39.77,40.768,22.374,15.7,14.203,23.658,0.2016,226.397,48.943,1006.396,,,,,,,1.2134,0.0,,,26.168,16.187,1005.229,4,0,1516.4362,1289.7937,1393.5729,1497.3521,122.8632,122.8632,5.9933,0,normal,0.0598,normal,NORMAL,82.013,0.5997,1.05,solar_clear_or_mixed,poa_wm2,cloud_obstruction_probability,1.0
264008,2016-12-04 19:15:00,2016,12,339,19,15,wind,WND_GADAG_CLUSTER,plant,,,GADAG_F3,GADAG_F3_TG03,420.0,15min,15,intra_hour_dispatch_correction,Intra-hour dispatch correction,persistence_physical_blend,empirical_residual_band,train,89.6191,94.6316,174.3158,462.0,339.3586,94.283,GOOD,10,NONE,1.01159,,,,12.49,,,,,66.94,1015.729,8.533,283.44,0.1313,7.572,9.555,3.006,1.2384,,8.616,300.588,,13.004,1013.887,7,0,105.1088,85.0975,104.2114,123.3253,0.8974,0.8974,0.2137,1,normal,0.0318,normal,NORMAL,93.573,0.1986,1.0062,wind_normal_regime,hub_height_wind_speed_ms,wake_loss_pct,1.0
264009,2023-12-12 05:30:00,2023,12,346,5,30,wind,WND_GADAG_CLUSTER,block,,,GADAG_F1,GADAG_F1_TG01,20.0,15min,15,intra_hour_dispatch_correction,Intra-hour dispatch correction,persistence_physical_blend,empirical_residual_band,train,15.971,17.5252,8.2665,22.0,16.2534,93.127,GOOD,26,NONE,0.00695,,,,16.094,,,,,48.509,1009.383,12.217,245.529,0.1985,11.217,11.348,12.374,1.2154,,12.085,239.832,,17.902,1012.302,3,2,16.721,15.31,16.2202,17.1304,0.5007,0.5007,2.5037,1,normal,0.0224,normal,NORMAL,88.993,0.435,1.0062,wind_normal_regime,hub_height_wind_speed_ms,wake_loss_pct,1.0
