asset_type,horizon,train_split,rows,mean_abs_error_mw,mean_nmae_pct,coverage_pct,avg_confidence_pct,event_rate_pct
solar,15min,test,2653,10.42,2.114,90.961,87.934,27.826
solar,15min,train,24729,11.108,2.125,90.799,87.919,28.092
solar,15min,validation,2741,11.254,2.12,91.07,87.862,28.559
solar,1hour,test,2002,10.849,2.183,87.67,87.822,27.885
solar,1hour,train,18432,10.963,2.187,87.223,87.797,27.876
solar,1hour,validation,2043,11.657,2.138,87.738,87.845,28.655
solar,2hour,test,2368,10.976,2.078,85.997,88.075,27.09
solar,2hour,train,21186,10.557,2.045,86.262,88.103,27.357
solar,2hour,validation,2378,10.173,1.992,86.065,88.116,28.741
solar,30min,test,2079,10.107,2.072,90.155,88.175,25.084
solar,30min,train,18451,11.315,2.155,89.464,87.85,28.119
solar,30min,validation,2037,11.185,2.178,89.482,87.919,27.093
solar,4hour,test,1680,58.128,10.879,55.807,73.65,26.763
solar,4hour,train,15203,52.111,10.494,57.36,74.202,27.785
solar,4hour,validation,1679,62.282,11.516,54.238,72.673,25.0
solar,5min,test,3298,11.864,2.125,91.202,87.886,27.835
solar,5min,train,30301,11.024,2.134,91.441,87.879,28.136
solar,5min,validation,3460,11.339,2.169,91.178,87.764,29.133
solar,8day,test,835,236.784,43.711,100.0,51.146,29.675
solar,8day,train,7516,223.516,42.573,100.0,52.551,27.046
solar,8day,validation,853,241.485,43.434,100.0,51.57,28.327
solar,day_ahead_40hour,test,1904,218.069,41.42,37.997,52.216,29.91
solar,day_ahead_40hour,train,16751,226.933,42.215,37.391,51.921,28.139
solar,day_ahead_40hour,validation,1825,210.643,44.141,34.385,50.413,26.997
wind,15min,test,1611,3.323,2.239,89.255,87.771,26.666
wind,15min,train,14978,3.076,2.19,90.027,87.927,26.438
wind,15min,validation,1697,3.291,2.277,89.656,87.705,26.179
wind,1hour,test,1256,2.732,2.027,87.856,88.343,24.377
wind,1hour,train,11138,2.888,2.042,88.146,88.204,26.108
wind,1hour,validation,1273,3.17,2.15,86.958,88.003,24.778
wind,2hour,test,1489,2.854,1.945,86.48,88.528,23.239
wind,2hour,train,13112,2.665,1.91,86.973,88.479,25.925
wind,2hour,validation,1470,2.724,1.899,86.856,88.406,27.616
wind,30min,test,1193,3.062,2.128,89.45,87.992,26.166
wind,30min,train,11023,3.123,2.181,89.56,87.906,26.593
wind,30min,validation,1227,3.339,2.163,89.526,87.9,26.25
wind,4hour,test,1057,16.116,11.154,55.979,73.141,24.927
wind,4hour,train,9372,14.771,10.558,58.387,74.244,26.395
wind,4hour,validation,1026,15.348,10.985,56.506,73.622,26.879
wind,5min,test,2049,3.198,2.35,89.247,87.575,27.727
wind,5min,train,18585,3.195,2.249,90.964,87.82,25.626
wind,5min,validation,2111,3.237,2.277,90.746,87.689,28.199
wind,8day,test,530,66.332,43.167,100.0,54.36,30.142
wind,8day,train,4597,61.284,42.784,100.0,54.44,25.194
wind,8day,validation,489,57.946,42.867,100.0,54.758,27.004
wind,day_ahead_40hour,test,1139,55.963,40.931,42.026,54.686,24.864
wind,day_ahead_40hour,train,10041,59.307,42.153,40.509,53.932,25.809
wind,day_ahead_40hour,validation,1133,57.829,39.281,45.217,55.692,28.592
