hierarchy_level,asset_id,asset_name,parent_asset_id,capacity_mw,layout_row,layout_col
grid,GRID_PAVAGADA_220KV,Pavagada 220kV Pooling Station,,2050,,
plant,SOL_PAVAGADA,Pavagada Solar Park,GRID_PAVAGADA_220KV,2050,,
hub,PAV_HUB_1,Hub / Segment 1,SOL_PAVAGADA,250,1,1
block,PAV_S1_B01,Hub 1 Block 1,PAV_HUB_1,50,1,1
block,PAV_S1_B02,Hub 1 Block 2,PAV_HUB_1,50,1,2
block,PAV_S1_B03,Hub 1 Block 3,PAV_HUB_1,50,1,3
block,PAV_S1_B04,Hub 1 Block 4,PAV_HUB_1,50,1,4
block,PAV_S1_B05,Hub 1 Block 5,PAV_HUB_1,50,1,5
hub,PAV_HUB_2,Hub / Segment 2,SOL_PAVAGADA,250,2,1
block,PAV_S2_B01,Hub 2 Block 1,PAV_HUB_2,50,2,1
block,PAV_S2_B02,Hub 2 Block 2,PAV_HUB_2,50,2,2
block,PAV_S2_B03,Hub 2 Block 3,PAV_HUB_2,50,2,3
block,PAV_S2_B04,Hub 2 Block 4,PAV_HUB_2,50,2,4
block,PAV_S2_B05,Hub 2 Block 5,PAV_HUB_2,50,2,5
hub,PAV_HUB_3,Hub / Segment 3,SOL_PAVAGADA,250,3,1
block,PAV_S3_B01,Hub 3 Block 1,PAV_HUB_3,50,3,1
block,PAV_S3_B02,Hub 3 Block 2,PAV_HUB_3,50,3,2
block,PAV_S3_B03,Hub 3 Block 3,PAV_HUB_3,50,3,3
block,PAV_S3_B04,Hub 3 Block 4,PAV_HUB_3,50,3,4
block,PAV_S3_B05,Hub 3 Block 5,PAV_HUB_3,50,3,5
hub,PAV_HUB_4,Hub / Segment 4,SOL_PAVAGADA,250,4,1
block,PAV_S4_B01,Hub 4 Block 1,PAV_HUB_4,50,4,1
block,PAV_S4_B02,Hub 4 Block 2,PAV_HUB_4,50,4,2
block,PAV_S4_B03,Hub 4 Block 3,PAV_HUB_4,50,4,3
block,PAV_S4_B04,Hub 4 Block 4,PAV_HUB_4,50,4,4
block,PAV_S4_B05,Hub 4 Block 5,PAV_HUB_4,50,4,5
hub,PAV_HUB_5,Hub / Segment 5,SOL_PAVAGADA,250,5,1
block,PAV_S5_B01,Hub 5 Block 1,PAV_HUB_5,50,5,1
block,PAV_S5_B02,Hub 5 Block 2,PAV_HUB_5,50,5,2
block,PAV_S5_B03,Hub 5 Block 3,PAV_HUB_5,50,5,3
block,PAV_S5_B04,Hub 5 Block 4,PAV_HUB_5,50,5,4
block,PAV_S5_B05,Hub 5 Block 5,PAV_HUB_5,50,5,5
hub,PAV_HUB_6,Hub / Segment 6,SOL_PAVAGADA,250,6,1
block,PAV_S6_B01,Hub 6 Block 1,PAV_HUB_6,50,6,1
block,PAV_S6_B02,Hub 6 Block 2,PAV_HUB_6,50,6,2
block,PAV_S6_B03,Hub 6 Block 3,PAV_HUB_6,50,6,3
block,PAV_S6_B04,Hub 6 Block 4,PAV_HUB_6,50,6,4
block,PAV_S6_B05,Hub 6 Block 5,PAV_HUB_6,50,6,5
hub,PAV_HUB_7,Hub / Segment 7,SOL_PAVAGADA,250,7,1
block,PAV_S7_B01,Hub 7 Block 1,PAV_HUB_7,50,7,1
block,PAV_S7_B02,Hub 7 Block 2,PAV_HUB_7,50,7,2
block,PAV_S7_B03,Hub 7 Block 3,PAV_HUB_7,50,7,3
block,PAV_S7_B04,Hub 7 Block 4,PAV_HUB_7,50,7,4
block,PAV_S7_B05,Hub 7 Block 5,PAV_HUB_7,50,7,5
hub,PAV_HUB_8,Hub / Segment 8,SOL_PAVAGADA,300,8,1
block,PAV_S8_B01,Hub 8 Block 1,PAV_HUB_8,50,8,1
block,PAV_S8_B02,Hub 8 Block 2,PAV_HUB_8,50,8,2
block,PAV_S8_B03,Hub 8 Block 3,PAV_HUB_8,50,8,3
block,PAV_S8_B04,Hub 8 Block 4,PAV_HUB_8,50,8,4
block,PAV_S8_B05,Hub 8 Block 5,PAV_HUB_8,100,8,5
