event_row_id,parent_event_id,hierarchy_level,asset_id,asset_name,parent_asset_id,plant_id,hub_id,block_id,event_type,root_cause,severity,start_time,end_time,forecast_start_time,actual_start_time,capacity_mw,max_loss_mw,possible_power_before_mw,actual_power_during_mw,event_probability_pct,detection_status,visual_status,tooltip,operator_summary,recommended_action,drilldown_key
EVH_00001_PAV_S3_B02,EVH_00001,block,PAV_S3_B02,Hub 3 Block 2,PAV_HUB_3,SOL_PAVAGADA,PAV_HUB_3,PAV_S3_B02,cloud_ramp_up_after_cloud_clearance,weather,WATCH,2015-01-05T15:20:00,2015-01-05T17:10:00,2015-01-05T15:00:00,2015-01-05T15:35:00,50,10.52,39.0,28.48,86,DETECTED,WATCH,PAV_S3_B02: cloud_ramp_up_after_cloud_clearance | loss 10.5 MW | weather,Cloud obstruction clears around Hub 3; forecast P50 rises before actual output catches up.,Prepare reserve release carefully and monitor ramp timing.,PAV_S3_B02
EVH_00001_PAV_S3_B03,EVH_00001,block,PAV_S3_B03,Hub 3 Block 3,PAV_HUB_3,SOL_PAVAGADA,PAV_HUB_3,PAV_S3_B03,cloud_ramp_up_after_cloud_clearance,weather,WATCH,2015-01-05T15:20:00,2015-01-05T17:10:00,2015-01-05T15:00:00,2015-01-05T15:35:00,50,11.0,39.0,28.0,86,DETECTED,WATCH,PAV_S3_B03: cloud_ramp_up_after_cloud_clearance | loss 11.0 MW | weather,Cloud obstruction clears around Hub 3; forecast P50 rises before actual output catches up.,Prepare reserve release carefully and monitor ramp timing.,PAV_S3_B03
EVH_00001_PAV_S3_B04,EVH_00001,block,PAV_S3_B04,Hub 3 Block 4,PAV_HUB_3,SOL_PAVAGADA,PAV_HUB_3,PAV_S3_B04,cloud_ramp_up_after_cloud_clearance,weather,WATCH,2015-01-05T15:20:00,2015-01-05T17:10:00,2015-01-05T15:00:00,2015-01-05T15:35:00,50,11.14,39.0,27.86,86,DETECTED,WATCH,PAV_S3_B04: cloud_ramp_up_after_cloud_clearance | loss 11.1 MW | weather,Cloud obstruction clears around Hub 3; forecast P50 rises before actual output catches up.,Prepare reserve release carefully and monitor ramp timing.,PAV_S3_B04
EVH_00001_PAV_HUB_3,EVH_00001,hub,PAV_HUB_3,Hub / Segment 3,SOL_PAVAGADA,SOL_PAVAGADA,PAV_HUB_3,,cloud_ramp_up_after_cloud_clearance,weather,WATCH,2015-01-05T15:20:00,2015-01-05T17:10:00,2015-01-05T15:00:00,2015-01-05T15:35:00,250,36.55,195.0,158.45,86,DETECTED,WATCH,PAV_HUB_3: cloud_ramp_up_after_cloud_clearance | loss 36.5 MW | weather,Cloud obstruction clears around Hub 3; forecast P50 rises before actual output catches up.,Prepare reserve release carefully and monitor ramp timing.,PAV_HUB_3
EVH_00001_SOL_PAVAGADA,EVH_00001,plant,SOL_PAVAGADA,Pavagada Solar Park,GRID_PAVAGADA_220KV,SOL_PAVAGADA,PAV_HUB_3,,cloud_ramp_up_after_cloud_clearance,weather,WATCH,2015-01-05T15:20:00,2015-01-05T17:10:00,2015-01-05T15:00:00,2015-01-05T15:35:00,2050,47.39,1517.0,1469.61,86,DETECTED,WATCH,SOL_PAVAGADA: cloud_ramp_up_after_cloud_clearance | loss 47.4 MW | weather,Cloud obstruction clears around Hub 3; forecast P50 rises before actual output catches up.,Prepare reserve release carefully and monitor ramp timing.,SOL_PAVAGADA
EVH_00001_GRID_PAVAGADA_220KV,EVH_00001,grid,GRID_PAVAGADA_220KV,Pavagada 220kV Pooling Station,,SOL_PAVAGADA,PAV_HUB_3,,cloud_ramp_up_after_cloud_clearance,weather,WATCH,2015-01-05T15:20:00,2015-01-05T17:10:00,2015-01-05T15:00:00,2015-01-05T15:35:00,2050,46.44,1517.0,1470.56,86,DETECTED,WATCH,GRID_PAVAGADA_220KV: cloud_ramp_up_after_cloud_clearance | loss 46.4 MW | weather,Cloud obstruction clears around Hub 3; forecast P50 rises before actual output catches up.,Prepare reserve release carefully and monitor ramp timing.,GRID_PAVAGADA_220KV
EVH_00002_PAV_S6_B01,EVH_00002,block,PAV_S6_B01,Hub 6 Block 1,PAV_HUB_6,SOL_PAVAGADA,PAV_HUB_6,PAV_S6_B01,cloud_ramp_down,weather,WATCH,2015-03-09T14:55:00,2015-03-09T16:35:00,2015-03-09T14:35:00,2015-03-09T15:05:00,50,11.97,39.0,27.03,86,DETECTED,WATCH,PAV_S6_B01: cloud_ramp_down | loss 12.0 MW | weather,Incoming cloud band reduces Hub 6 possible power; uncertainty band widens.,Prepare reserve and adjust intraday expectation.,PAV_S6_B01
EVH_00002_PAV_S6_B02,EVH_00002,block,PAV_S6_B02,Hub 6 Block 2,PAV_HUB_6,SOL_PAVAGADA,PAV_HUB_6,PAV_S6_B02,cloud_ramp_down,weather,WATCH,2015-03-09T14:55:00,2015-03-09T16:35:00,2015-03-09T14:35:00,2015-03-09T15:05:00,50,12.04,39.0,26.96,86,DETECTED,WATCH,PAV_S6_B02: cloud_ramp_down | loss 12.0 MW | weather,Incoming cloud band reduces Hub 6 possible power; uncertainty band widens.,Prepare reserve and adjust intraday expectation.,PAV_S6_B02
EVH_00002_PAV_S6_B03,EVH_00002,block,PAV_S6_B03,Hub 6 Block 3,PAV_HUB_6,SOL_PAVAGADA,PAV_HUB_6,PAV_S6_B03,cloud_ramp_down,weather,WATCH,2015-03-09T14:55:00,2015-03-09T16:35:00,2015-03-09T14:35:00,2015-03-09T15:05:00,50,11.29,39.0,27.71,86,DETECTED,WATCH,PAV_S6_B03: cloud_ramp_down | loss 11.3 MW | weather,Incoming cloud band reduces Hub 6 possible power; uncertainty band widens.,Prepare reserve and adjust intraday expectation.,PAV_S6_B03
EVH_00002_PAV_HUB_6,EVH_00002,hub,PAV_HUB_6,Hub / Segment 6,SOL_PAVAGADA,SOL_PAVAGADA,PAV_HUB_6,,cloud_ramp_down,weather,WATCH,2015-03-09T14:55:00,2015-03-09T16:35:00,2015-03-09T14:35:00,2015-03-09T15:05:00,250,37.65,195.0,157.35,86,DETECTED,WATCH,PAV_HUB_6: cloud_ramp_down | loss 37.6 MW | weather,Incoming cloud band reduces Hub 6 possible power; uncertainty band widens.,Prepare reserve and adjust intraday expectation.,PAV_HUB_6
