timestamp,time_label,scenario_id,plant_id,unit_id,horizon,business_name,model_family,actual_mw,forecast_p50_mw,forecast_p10_mw,forecast_p90_mw,error_mw,rolling_nmae_pct,rolling_coverage_pct,rolling_bias_mw,band_width_mw,event_probability,lead_time_minutes,phase_error_minutes,ramp_hit_rate_so_far_pct,scada_quality,met_quality,output_status,root_cause,learning_signal,model_action_code,plain_language_learning,ui_badge
2025-01-05T05:00:00,05:00,ONLINE_SOL_2025_0105_RAMP_UP,SOL_PAVAGADA,PAV_S3_B02,5min,Real-time nowcast / control-room forecast,persistence + ramp-rate correction + SCADA quality gate,0.0,0.0,0,2.56,0.0,0.0,100.0,0.0,2.56,0.12,0,0,0,GOOD,GOOD,NORMAL,normal,NORMAL_LEARNING,NO_ACTION,Continue normal nowcast update.,OK
2025-01-05T05:05:00,05:05,ONLINE_SOL_2025_0105_RAMP_UP,SOL_PAVAGADA,PAV_S3_B02,5min,Real-time nowcast / control-room forecast,persistence + ramp-rate correction + SCADA quality gate,0.44,0.437,0,2.997,0.004,0.004,100.0,0.002,2.997,0.12,0,0,0,GOOD,GOOD,NORMAL,normal,NORMAL_LEARNING,NO_ACTION,Continue normal nowcast update.,OK
2025-01-05T05:10:00,05:10,ONLINE_SOL_2025_0105_RAMP_UP,SOL_PAVAGADA,PAV_S3_B02,5min,Real-time nowcast / control-room forecast,persistence + ramp-rate correction + SCADA quality gate,0.878,0.872,0,3.432,0.006,0.006,100.0,0.003,3.432,0.12,0,0,0,GOOD,GOOD,NORMAL,normal,NORMAL_LEARNING,NO_ACTION,Continue normal nowcast update.,OK
2025-01-05T05:15:00,05:15,ONLINE_SOL_2025_0105_RAMP_UP,SOL_PAVAGADA,PAV_S3_B02,5min,Real-time nowcast / control-room forecast,persistence + ramp-rate correction + SCADA quality gate,1.313,1.306,0,3.866,0.006,0.008,100.0,0.004,3.866,0.12,0,0,0,GOOD,GOOD,NORMAL,normal,NORMAL_LEARNING,NO_ACTION,Continue normal nowcast update.,OK
2025-01-05T05:20:00,05:20,ONLINE_SOL_2025_0105_RAMP_UP,SOL_PAVAGADA,PAV_S3_B02,5min,Real-time nowcast / control-room forecast,persistence + ramp-rate correction + SCADA quality gate,1.743,1.739,0,4.299,0.004,0.008,100.0,0.004,4.299,0.12,0,0,0,GOOD,GOOD,NORMAL,normal,NORMAL_LEARNING,NO_ACTION,Continue normal nowcast update.,OK
2025-01-05T05:25:00,05:25,ONLINE_SOL_2025_0105_RAMP_UP,SOL_PAVAGADA,PAV_S3_B02,5min,Real-time nowcast / control-room forecast,persistence + ramp-rate correction + SCADA quality gate,2.169,2.169,0,4.729,-0.0,0.007,100.0,0.003,4.729,0.12,0,0,0,GOOD,GOOD,NORMAL,normal,NORMAL_LEARNING,NO_ACTION,Continue normal nowcast update.,OK
2025-01-05T05:30:00,05:30,ONLINE_SOL_2025_0105_RAMP_UP,SOL_PAVAGADA,PAV_S3_B02,5min,Real-time nowcast / control-room forecast,persistence + ramp-rate correction + SCADA quality gate,2.59,2.597,0.037,5.157,-0.007,0.009,100.0,0.002,5.12,0.12,0,0,0,GOOD,GOOD,NORMAL,normal,NORMAL_LEARNING,NO_ACTION,Continue normal nowcast update.,OK
2025-01-05T05:35:00,05:35,ONLINE_SOL_2025_0105_RAMP_UP,SOL_PAVAGADA,PAV_S3_B02,5min,Real-time nowcast / control-room forecast,persistence + ramp-rate correction + SCADA quality gate,3.006,3.024,0.464,5.584,-0.018,0.014,100.0,-0.002,5.12,0.12,0,0,0,GOOD,GOOD,NORMAL,normal,NORMAL_LEARNING,NO_ACTION,Continue normal nowcast update.,OK
2025-01-05T05:40:00,05:40,ONLINE_SOL_2025_0105_RAMP_UP,SOL_PAVAGADA,PAV_S3_B02,5min,Real-time nowcast / control-room forecast,persistence + ramp-rate correction + SCADA quality gate,3.416,3.448,0.888,6.008,-0.032,0.023,100.0,-0.008,5.12,0.12,0,0,0,GOOD,GOOD,NORMAL,normal,NORMAL_LEARNING,NO_ACTION,Continue normal nowcast update.,OK
2025-01-05T05:45:00,05:45,ONLINE_SOL_2025_0105_RAMP_UP,SOL_PAVAGADA,PAV_S3_B02,5min,Real-time nowcast / control-room forecast,persistence + ramp-rate correction + SCADA quality gate,3.821,3.869,1.309,6.429,-0.048,0.037,100.0,-0.017,5.12,0.12,0,0,0,GOOD,GOOD,NORMAL,normal,NORMAL_LEARNING,NO_ACTION,Continue normal nowcast update.,OK
