scenario_id,plant_id,event_type,root_cause,forecast_start_time,actual_start_time,phase_error_minutes,actual_amplitude_mw,forecast_amplitude_mw,amplitude_error_mw,actual_ramp_rate_mw_min,forecast_ramp_rate_mw_min,ramp_rate_error_mw_min,detected,detection_confidence_pct
SCN_00071_SOLAR_SIGMOID_RAMP_UP_4PM,SOL_PAVAGADA,cloud_ramp_up_after_cloud_clearance,weather,2025-01-05T15:00:00,2025-01-05T15:35:00,35,320,320.244,-0.244,2.9091,2.9113,-0.0022,Y,86
SCN_00072_SOLAR_SIGMOID_RAMP_DOWN,SOL_PAVAGADA,cloud_ramp_down,weather,2025-03-09T14:40:00,2025-03-09T15:05:00,25,320,321.117,-1.117,3.0476,3.0583,-0.0106,Y,86
SCN_00073_GRID_CURTAILMENT_PLATEAU,SOL_PAVAGADA,grid_curtailment_plateau,grid_constraint,2025-05-14T12:30:00,2025-05-14T12:45:00,15,720,694.546,25.454,3.0,2.8939,0.1061,Y,92
SCN_00074_SCADA_STALE_SIGNAL,SOL_PAVAGADA,scada_stale_signal,data_quality,2025-08-18T14:55:00,2025-08-18T15:00:00,5,0,0.0,0.0,0.0,0.0,0.0,Y,78
SCN_00075_WIND_SIGMOID_RAMP_DOWN,WND_GADAG,wind_ramp_down,weather,2025-02-07T14:40:00,2025-02-07T15:05:00,25,58,53.874,4.126,0.5524,0.5131,0.0393,Y,86
SCN_00076_WIND_SIGMOID_RAMP_UP_4PM,WND_GADAG,wind_ramp_up,weather,2025-06-16T15:00:00,2025-06-16T15:35:00,35,58,53.376,4.624,0.5273,0.4852,0.042,Y,86
SCN_00077_EQUIPMENT_DERATING,WND_GADAG,equipment_derating,equipment,2025-09-22T11:25:00,2025-09-22T11:30:00,5,42,40.157,1.843,0.1826,0.1746,0.008,Y,78
SCN_00022_SOLAR_SIGMOID_RAMP_UP_4PM,SOL_PAVAGADA,cloud_ramp_up_after_cloud_clearance,weather,2018-01-05T15:00:00,2018-01-05T15:35:00,35,320,325.209,-5.209,2.9091,2.9564,-0.0474,Y,86
SCN_00023_SOLAR_SIGMOID_RAMP_DOWN,SOL_PAVAGADA,cloud_ramp_down,weather,2018-03-09T14:40:00,2018-03-09T15:05:00,25,320,325.328,-5.328,3.0476,3.0984,-0.0507,Y,86
SCN_00024_GRID_CURTAILMENT_PLATEAU,SOL_PAVAGADA,grid_curtailment_plateau,grid_constraint,2018-05-14T12:30:00,2018-05-14T12:45:00,15,720,688.435,31.565,3.0,2.8685,0.1315,Y,92
SCN_00026_WIND_SIGMOID_RAMP_DOWN,WND_GADAG,wind_ramp_down,weather,2018-02-07T14:40:00,2018-02-07T15:05:00,25,58,57.456,0.544,0.5524,0.5472,0.0052,Y,86
SCN_00027_WIND_SIGMOID_RAMP_UP_4PM,WND_GADAG,wind_ramp_up,weather,2018-06-16T15:00:00,2018-06-16T15:35:00,35,58,58.951,-0.951,0.5273,0.5359,-0.0086,Y,86
SCN_00036_SOLAR_SIGMOID_RAMP_UP_4PM,SOL_PAVAGADA,cloud_ramp_up_after_cloud_clearance,weather,2020-01-05T15:00:00,2020-01-05T15:35:00,35,320,324.531,-4.531,2.9091,2.9503,-0.0412,Y,86
SCN_00037_SOLAR_SIGMOID_RAMP_DOWN,SOL_PAVAGADA,cloud_ramp_down,weather,2020-03-09T14:40:00,2020-03-09T15:05:00,25,320,291.964,28.036,3.0476,2.7806,0.267,Y,86
SCN_00038_GRID_CURTAILMENT_PLATEAU,SOL_PAVAGADA,grid_curtailment_plateau,grid_constraint,2020-05-14T12:30:00,2020-05-14T12:45:00,15,720,692.065,27.935,3.0,2.8836,0.1164,Y,92
SCN_00040_WIND_SIGMOID_RAMP_DOWN,WND_GADAG,wind_ramp_down,weather,2020-02-07T14:40:00,2020-02-07T15:05:00,25,58,56.165,1.835,0.5524,0.5349,0.0175,Y,86
SCN_00041_WIND_SIGMOID_RAMP_UP_4PM,WND_GADAG,wind_ramp_up,weather,2020-06-16T15:00:00,2020-06-16T15:35:00,35,58,56.64,1.36,0.5273,0.5149,0.0124,Y,86
SCN_00057_SOLAR_SIGMOID_RAMP_UP_4PM,SOL_PAVAGADA,cloud_ramp_up_after_cloud_clearance,weather,2023-01-05T15:00:00,2023-01-05T15:35:00,35,320,317.784,2.216,2.9091,2.8889,0.0201,Y,86
SCN_00058_SOLAR_SIGMOID_RAMP_DOWN,SOL_PAVAGADA,cloud_ramp_down,weather,2023-03-09T14:40:00,2023-03-09T15:05:00,25,320,301.164,18.836,3.0476,2.8682,0.1794,Y,86
SCN_00059_GRID_CURTAILMENT_PLATEAU,SOL_PAVAGADA,grid_curtailment_plateau,grid_constraint,2023-05-14T12:30:00,2023-05-14T12:45:00,15,720,717.907,2.093,3.0,2.9913,0.0087,Y,92
SCN_00061_WIND_SIGMOID_RAMP_DOWN,WND_GADAG,wind_ramp_down,weather,2023-02-07T14:40:00,2023-02-07T15:05:00,25,58,55.001,2.999,0.5524,0.5238,0.0286,Y,86
SCN_00062_WIND_SIGMOID_RAMP_UP_4PM,WND_GADAG,wind_ramp_up,weather,2023-06-16T15:00:00,2023-06-16T15:35:00,35,58,54.068,3.932,0.5273,0.4915,0.0357,Y,86
